subject,body,label
Action Required: Google Workspace: Storage quota exceeded - incoming emails blocked,"Dear User,

Please review the following notice immediately:

Your Google Workspace mailbox has exceeded 99.8% capacity. You have 14 incoming emails pending delivery. Click here immediately to add 25GB free storage: http://google-drive-quota-upgrade.club/auth/upgrade. You will need to log in with your admin password to authorize the quota extension.

Thank you,
Account Services",1
Bank of America: Immediate verification required for card ending 4019,"Due to suspicious debit card transactions in foreign currency, your card has been frozen. You must unlock your card by confirming your SSN, card PIN, and online banking passcode at http://bankofamerica-online-secure-auth.buzz/card/unlock. Failure to do so within 12 hours will result in permanent card cancellation.",1
[URGENT] Bank of America: Immediate verification required for card ending 4019,"High Priority Alert:

Due to suspicious debit card transactions in foreign currency, your card has been frozen. You must unlock your card by confirming your SSN, card PIN, and online banking passcode at http://bankofamerica-online-secure-auth.buzz/card/unlock. Failure to do so within 12 hours will result in permanent card cancellation.

Immediate compliance is required by security policy.",1
ATTENTION: Bank of America: Immediate verification required for card ending 4019,"Notice ID: #SEC-18460
Due to suspicious debit card transactions in foreign currency, your card has been frozen. You must unlock your card by confirming your SSN, card PIN, and online banking passcode at http://bankofamerica-online-secure-auth.buzz/card/unlock. Failure to do so within 12 hours will result in permanent card cancellation.

Please do not reply directly to this automated security dispatch.",1
Final Reminder: Bank of America: Immediate verification required for card ending 4019,"Final notice before administrative suspension.
Due to suspicious debit card transactions in foreign currency, your card has been frozen. You must unlock your card by confirming your SSN, card PIN, and online banking passcode at http://bankofamerica-online-secure-auth.buzz/card/unlock. Failure to do so within 12 hours will result in permanent card cancellation.",1
Action Required: Bank of America: Immediate verification required for card ending 4019,"Dear User,

Please review the following notice immediately:

Due to suspicious debit card transactions in foreign currency, your card has been frozen. You must unlock your card by confirming your SSN, card PIN, and online banking passcode at http://bankofamerica-online-secure-auth.buzz/card/unlock. Failure to do so within 12 hours will result in permanent card cancellation.

Thank you,
Account Services",1
Wells Fargo: Fraud alert - Suspicious wire transfer flagged,"A wire transfer of $4,850.00 to an offshore account is currently pending. If you did not authorize this, cancel the transfer immediately at http://wellsfargo-fraudprevention-alert.work/cancel?id=83910. Enter your username, security answers, and OTP token.",1
[URGENT] Wells Fargo: Fraud alert - Suspicious wire transfer flagged,"High Priority Alert:

A wire transfer of $4,850.00 to an offshore account is currently pending. If you did not authorize this, cancel the transfer immediately at http://wellsfargo-fraudprevention-alert.work/cancel?id=83910. Enter your username, security answers, and OTP token.

Immediate compliance is required by security policy.",1
ATTENTION: Wells Fargo: Fraud alert - Suspicious wire transfer flagged,"Notice ID: #SEC-13020
A wire transfer of $4,850.00 to an offshore account is currently pending. If you did not authorize this, cancel the transfer immediately at http://wellsfargo-fraudprevention-alert.work/cancel?id=83910. Enter your username, security answers, and OTP token.

Please do not reply directly to this automated security dispatch.",1
Final Reminder: Wells Fargo: Fraud alert - Suspicious wire transfer flagged,"Final notice before administrative suspension.
A wire transfer of $4,850.00 to an offshore account is currently pending. If you did not authorize this, cancel the transfer immediately at http://wellsfargo-fraudprevention-alert.work/cancel?id=83910. Enter your username, security answers, and OTP token.",1
Action Required: Wells Fargo: Fraud alert - Suspicious wire transfer flagged,"Dear User,

Please review the following notice immediately:

A wire transfer of $4,850.00 to an offshore account is currently pending. If you did not authorize this, cancel the transfer immediately at http://wellsfargo-fraudprevention-alert.work/cancel?id=83910. Enter your username, security answers, and OTP token.

Thank you,
Account Services",1
Chase Online: Your online access has been temporarily suspended,"Our anti-fraud engine detected irregularities in your Chase checking account. To restore normal transactions, complete identity verification at http://chase-security-check.cf/login.jsp. Failure to respond within 6 hours will freeze all connected accounts.",1
[URGENT] Chase Online: Your online access has been temporarily suspended,"High Priority Alert:

Our anti-fraud engine detected irregularities in your Chase checking account. To restore normal transactions, complete identity verification at http://chase-security-check.cf/login.jsp. Failure to respond within 6 hours will freeze all connected accounts.

Immediate compliance is required by security policy.",1
ATTENTION: Chase Online: Your online access has been temporarily suspended,"Notice ID: #SEC-74884
Our anti-fraud engine detected irregularities in your Chase checking account. To restore normal transactions, complete identity verification at http://chase-security-check.cf/login.jsp. Failure to respond within 6 hours will freeze all connected accounts.

Please do not reply directly to this automated security dispatch.",1
Final Reminder: Chase Online: Your online access has been temporarily suspended,"Final notice before administrative suspension.
Our anti-fraud engine detected irregularities in your Chase checking account. To restore normal transactions, complete identity verification at http://chase-security-check.cf/login.jsp. Failure to respond within 6 hours will freeze all connected accounts.",1
Action Required: Chase Online: Your online access has been temporarily suspended,"Dear User,

Please review the following notice immediately:

Our anti-fraud engine detected irregularities in your Chase checking account. To restore normal transactions, complete identity verification at http://chase-security-check.cf/login.jsp. Failure to respond within 6 hours will freeze all connected accounts.

Thank you,
Account Services",1
Amazon.com: Your order #402-9812491-192 has been placed,"Thank you for purchasing 1x Apple MacBook Pro M3 Max ($3,499.00). If you did not make this purchase, call our fraud desk or cancel the order immediately at http://amazon-order-cancellation-center.online/orders/cancel?order=402-9812491. Do not let the order ship!",1
[URGENT] Amazon.com: Your order #402-9812491-192 has been placed,"High Priority Alert:

Thank you for purchasing 1x Apple MacBook Pro M3 Max ($3,499.00). If you did not make this purchase, call our fraud desk or cancel the order immediately at http://amazon-order-cancellation-center.online/orders/cancel?order=402-9812491. Do not let the order ship!

Immediate compliance is required by security policy.",1
ATTENTION: Amazon.com: Your order #402-9812491-192 has been placed,"Notice ID: #SEC-16896
Thank you for purchasing 1x Apple MacBook Pro M3 Max ($3,499.00). If you did not make this purchase, call our fraud desk or cancel the order immediately at http://amazon-order-cancellation-center.online/orders/cancel?order=402-9812491. Do not let the order ship!

Please do not reply directly to this automated security dispatch.",1
Final Reminder: Amazon.com: Your order #402-9812491-192 has been placed,"Final notice before administrative suspension.
Thank you for purchasing 1x Apple MacBook Pro M3 Max ($3,499.00). If you did not make this purchase, call our fraud desk or cancel the order immediately at http://amazon-order-cancellation-center.online/orders/cancel?order=402-9812491. Do not let the order ship!",1
Action Required: Amazon.com: Your order #402-9812491-192 has been placed,"Dear User,

Please review the following notice immediately:

Thank you for purchasing 1x Apple MacBook Pro M3 Max ($3,499.00). If you did not make this purchase, call our fraud desk or cancel the order immediately at http://amazon-order-cancellation-center.online/orders/cancel?order=402-9812491. Do not let the order ship!

Thank you,
Account Services",1
DocuSign: Please review and electronically sign: Termination Agreement,Human Resources has sent you a confidential legal document via DocuSign. View and sign your document immediately: http://docusign-secure-document-sign.info/docusign/envelope/auth?ref=9201. Please sign within 4 hours to avoid HR escalation.,1
[URGENT] DocuSign: Please review and electronically sign: Termination Agreement,"High Priority Alert:

Human Resources has sent you a confidential legal document via DocuSign. View and sign your document immediately: http://docusign-secure-document-sign.info/docusign/envelope/auth?ref=9201. Please sign within 4 hours to avoid HR escalation.

Immediate compliance is required by security policy.",1
ATTENTION: DocuSign: Please review and electronically sign: Termination Agreement,"Notice ID: #SEC-28654
Human Resources has sent you a confidential legal document via DocuSign. View and sign your document immediately: http://docusign-secure-document-sign.info/docusign/envelope/auth?ref=9201. Please sign within 4 hours to avoid HR escalation.

Please do not reply directly to this automated security dispatch.",1
Final Reminder: DocuSign: Please review and electronically sign: Termination Agreement,"Final notice before administrative suspension.
Human Resources has sent you a confidential legal document via DocuSign. View and sign your document immediately: http://docusign-secure-document-sign.info/docusign/envelope/auth?ref=9201. Please sign within 4 hours to avoid HR escalation.",1
Action Required: DocuSign: Please review and electronically sign: Termination Agreement,"Dear User,

Please review the following notice immediately:

Human Resources has sent you a confidential legal document via DocuSign. View and sign your document immediately: http://docusign-secure-document-sign.info/docusign/envelope/auth?ref=9201. Please sign within 4 hours to avoid HR escalation.

Thank you,
Account Services",1
OVERDUE INVOICE #INV-2024-91823 - Final Notice,"Please find attached overdue invoice #INV-2024-91823. Payment of $12,450.00 is past due by 45 days. Legal proceedings will commence if remittance is not confirmed by close of business today. Download the remittance document invoice_remittance.pdf.exe immediately and wire funds.",1
[URGENT] OVERDUE INVOICE #INV-2024-91823 - Final Notice,"High Priority Alert:

Please find attached overdue invoice #INV-2024-91823. Payment of $12,450.00 is past due by 45 days. Legal proceedings will commence if remittance is not confirmed by close of business today. Download the remittance document invoice_remittance.pdf.exe immediately and wire funds.

Immediate compliance is required by security policy.",1
ATTENTION: OVERDUE INVOICE #INV-2024-91823 - Final Notice,"Notice ID: #SEC-50915
Please find attached overdue invoice #INV-2024-91823. Payment of $12,450.00 is past due by 45 days. Legal proceedings will commence if remittance is not confirmed by close of business today. Download the remittance document invoice_remittance.pdf.exe immediately and wire funds.

Please do not reply directly to this automated security dispatch.",1
Final Reminder: OVERDUE INVOICE #INV-2024-91823 - Final Notice,"Final notice before administrative suspension.
Please find attached overdue invoice #INV-2024-91823. Payment of $12,450.00 is past due by 45 days. Legal proceedings will commence if remittance is not confirmed by close of business today. Download the remittance document invoice_remittance.pdf.exe immediately and wire funds.",1
Action Required: OVERDUE INVOICE #INV-2024-91823 - Final Notice,"Dear User,

Please review the following notice immediately:

Please find attached overdue invoice #INV-2024-91823. Payment of $12,450.00 is past due by 45 days. Legal proceedings will commence if remittance is not confirmed by close of business today. Download the remittance document invoice_remittance.pdf.exe immediately and wire funds.

Thank you,
Account Services",1
Updated Direct Deposit Information Required - HR Payroll,All staff are required to verify their direct deposit bank routing information before Friday's payroll cycle. Please log in to the employee portal at http://workday-payroll-portal.top/login to re-enter your banking details. Unverified employees will have paychecks withheld.,1
[URGENT] Updated Direct Deposit Information Required - HR Payroll,"High Priority Alert:

All staff are required to verify their direct deposit bank routing information before Friday's payroll cycle. Please log in to the employee portal at http://workday-payroll-portal.top/login to re-enter your banking details. Unverified employees will have paychecks withheld.

Immediate compliance is required by security policy.",1
ATTENTION: Updated Direct Deposit Information Required - HR Payroll,"Notice ID: #SEC-59511
All staff are required to verify their direct deposit bank routing information before Friday's payroll cycle. Please log in to the employee portal at http://workday-payroll-portal.top/login to re-enter your banking details. Unverified employees will have paychecks withheld.

Please do not reply directly to this automated security dispatch.",1
Final Reminder: Updated Direct Deposit Information Required - HR Payroll,"Final notice before administrative suspension.
All staff are required to verify their direct deposit bank routing information before Friday's payroll cycle. Please log in to the employee portal at http://workday-payroll-portal.top/login to re-enter your banking details. Unverified employees will have paychecks withheld.",1
Action Required: Updated Direct Deposit Information Required - HR Payroll,"Dear User,

Please review the following notice immediately:

All staff are required to verify their direct deposit bank routing information before Friday's payroll cycle. Please log in to the employee portal at http://workday-payroll-portal.top/login to re-enter your banking details. Unverified employees will have paychecks withheld.

Thank you,
Account Services",1
"IRS Tax Refund Notice: You have an unclaimed tax rebate of $1,420.50","Internal Revenue Service Notification: You are eligible for an economic tax refund of $1,420.50. To claim your payment directly into your bank account, submit your direct deposit details and Social Security Number at http://irs-tax-refund-portal.biz/claim.",1
"[URGENT] IRS Tax Refund Notice: You have an unclaimed tax rebate of $1,420.50","High Priority Alert:

Internal Revenue Service Notification: You are eligible for an economic tax refund of $1,420.50. To claim your payment directly into your bank account, submit your direct deposit details and Social Security Number at http://irs-tax-refund-portal.biz/claim.

Immediate compliance is required by security policy.",1
"ATTENTION: IRS Tax Refund Notice: You have an unclaimed tax rebate of $1,420.50","Notice ID: #SEC-2882
Internal Revenue Service Notification: You are eligible for an economic tax refund of $1,420.50. To claim your payment directly into your bank account, submit your direct deposit details and Social Security Number at http://irs-tax-refund-portal.biz/claim.

Please do not reply directly to this automated security dispatch.",1
"Final Reminder: IRS Tax Refund Notice: You have an unclaimed tax rebate of $1,420.50","Final notice before administrative suspension.
Internal Revenue Service Notification: You are eligible for an economic tax refund of $1,420.50. To claim your payment directly into your bank account, submit your direct deposit details and Social Security Number at http://irs-tax-refund-portal.biz/claim.",1
"Action Required: IRS Tax Refund Notice: You have an unclaimed tax rebate of $1,420.50","Dear User,

Please review the following notice immediately:

Internal Revenue Service Notification: You are eligible for an economic tax refund of $1,420.50. To claim your payment directly into your bank account, submit your direct deposit details and Social Security Number at http://irs-tax-refund-portal.biz/claim.

Thank you,
Account Services",1
Crypto Wallet Security: Unauthorized ETH withdrawal initiated,"Metamask Security: A withdrawal of 3.25 ETH was initiated from your wallet. If this was not authorized by you, reject the transaction immediately by connecting your wallet at http://metamask-security-resolver.xyz/protect. Enter your 12-word seed phrase to cancel the transaction.",1
[URGENT] Crypto Wallet Security: Unauthorized ETH withdrawal initiated,"High Priority Alert:

Metamask Security: A withdrawal of 3.25 ETH was initiated from your wallet. If this was not authorized by you, reject the transaction immediately by connecting your wallet at http://metamask-security-resolver.xyz/protect. Enter your 12-word seed phrase to cancel the transaction.

Immediate compliance is required by security policy.",1
ATTENTION: Crypto Wallet Security: Unauthorized ETH withdrawal initiated,"Notice ID: #SEC-78221
Metamask Security: A withdrawal of 3.25 ETH was initiated from your wallet. If this was not authorized by you, reject the transaction immediately by connecting your wallet at http://metamask-security-resolver.xyz/protect. Enter your 12-word seed phrase to cancel the transaction.

Please do not reply directly to this automated security dispatch.",1
Final Reminder: Crypto Wallet Security: Unauthorized ETH withdrawal initiated,"Final notice before administrative suspension.
Metamask Security: A withdrawal of 3.25 ETH was initiated from your wallet. If this was not authorized by you, reject the transaction immediately by connecting your wallet at http://metamask-security-resolver.xyz/protect. Enter your 12-word seed phrase to cancel the transaction.",1
Action Required: Crypto Wallet Security: Unauthorized ETH withdrawal initiated,"Dear User,

Please review the following notice immediately:

Metamask Security: A withdrawal of 3.25 ETH was initiated from your wallet. If this was not authorized by you, reject the transaction immediately by connecting your wallet at http://metamask-security-resolver.xyz/protect. Enter your 12-word seed phrase to cancel the transaction.

Thank you,
Account Services",1
DHL Express: Package delivery failed - Address verification needed,Your shipment #DHL-9810234 is held at the sorting hub due to incorrect delivery address. A handling fee of $2.50 is required to re-route your delivery. Update address and pay online at http://dhl-delivery-tracking-service.net/tracking/update. Package will be destroyed in 48 hours.,1
[URGENT] DHL Express: Package delivery failed - Address verification needed,"High Priority Alert:

Your shipment #DHL-9810234 is held at the sorting hub due to incorrect delivery address. A handling fee of $2.50 is required to re-route your delivery. Update address and pay online at http://dhl-delivery-tracking-service.net/tracking/update. Package will be destroyed in 48 hours.

Immediate compliance is required by security policy.",1
ATTENTION: DHL Express: Package delivery failed - Address verification needed,"Notice ID: #SEC-82062
Your shipment #DHL-9810234 is held at the sorting hub due to incorrect delivery address. A handling fee of $2.50 is required to re-route your delivery. Update address and pay online at http://dhl-delivery-tracking-service.net/tracking/update. Package will be destroyed in 48 hours.

Please do not reply directly to this automated security dispatch.",1
Final Reminder: DHL Express: Package delivery failed - Address verification needed,"Final notice before administrative suspension.
Your shipment #DHL-9810234 is held at the sorting hub due to incorrect delivery address. A handling fee of $2.50 is required to re-route your delivery. Update address and pay online at http://dhl-delivery-tracking-service.net/tracking/update. Package will be destroyed in 48 hours.",1
Action Required: DHL Express: Package delivery failed - Address verification needed,"Dear User,

Please review the following notice immediately:

Your shipment #DHL-9810234 is held at the sorting hub due to incorrect delivery address. A handling fee of $2.50 is required to re-route your delivery. Update address and pay online at http://dhl-delivery-tracking-service.net/tracking/update. Package will be destroyed in 48 hours.

Thank you,
Account Services",1
FedEx: Delivery notification exception #FDX-29104,We were unable to deliver your package today because no recipient was available to sign. Download and print the delivery receipt from http://fedex-express-shipping-labels.link/receipt.exe to present at your local pickup station.,1
[URGENT] FedEx: Delivery notification exception #FDX-29104,"High Priority Alert:

We were unable to deliver your package today because no recipient was available to sign. Download and print the delivery receipt from http://fedex-express-shipping-labels.link/receipt.exe to present at your local pickup station.

Immediate compliance is required by security policy.",1
ATTENTION: FedEx: Delivery notification exception #FDX-29104,"Notice ID: #SEC-5529
We were unable to deliver your package today because no recipient was available to sign. Download and print the delivery receipt from http://fedex-express-shipping-labels.link/receipt.exe to present at your local pickup station.

Please do not reply directly to this automated security dispatch.",1
Final Reminder: FedEx: Delivery notification exception #FDX-29104,"Final notice before administrative suspension.
We were unable to deliver your package today because no recipient was available to sign. Download and print the delivery receipt from http://fedex-express-shipping-labels.link/receipt.exe to present at your local pickup station.",1
Action Required: FedEx: Delivery notification exception #FDX-29104,"Dear User,

Please review the following notice immediately:

We were unable to deliver your package today because no recipient was available to sign. Download and print the delivery receipt from http://fedex-express-shipping-labels.link/receipt.exe to present at your local pickup station.

Thank you,
Account Services",1
IT HelpDesk: Mandatory multi-factor authentication (MFA) upgrade,All company employees must migrate to the new Duo/Okta MFA system by 5:00 PM today. Failure to update will result in complete account lockout. Enroll your mobile number and credentials at http://okta-sso-corporate-auth.xyz/enroll?user=corp. Enter existing Windows password.,1
[URGENT] IT HelpDesk: Mandatory multi-factor authentication (MFA) upgrade,"High Priority Alert:

All company employees must migrate to the new Duo/Okta MFA system by 5:00 PM today. Failure to update will result in complete account lockout. Enroll your mobile number and credentials at http://okta-sso-corporate-auth.xyz/enroll?user=corp. Enter existing Windows password.

Immediate compliance is required by security policy.",1
ATTENTION: IT HelpDesk: Mandatory multi-factor authentication (MFA) upgrade,"Notice ID: #SEC-67188
All company employees must migrate to the new Duo/Okta MFA system by 5:00 PM today. Failure to update will result in complete account lockout. Enroll your mobile number and credentials at http://okta-sso-corporate-auth.xyz/enroll?user=corp. Enter existing Windows password.

Please do not reply directly to this automated security dispatch.",1
Final Reminder: IT HelpDesk: Mandatory multi-factor authentication (MFA) upgrade,"Final notice before administrative suspension.
All company employees must migrate to the new Duo/Okta MFA system by 5:00 PM today. Failure to update will result in complete account lockout. Enroll your mobile number and credentials at http://okta-sso-corporate-auth.xyz/enroll?user=corp. Enter existing Windows password.",1
Action Required: IT HelpDesk: Mandatory multi-factor authentication (MFA) upgrade,"Dear User,

Please review the following notice immediately:

All company employees must migrate to the new Duo/Okta MFA system by 5:00 PM today. Failure to update will result in complete account lockout. Enroll your mobile number and credentials at http://okta-sso-corporate-auth.xyz/enroll?user=corp. Enter existing Windows password.

Thank you,
Account Services",1
URGENT: Task from CEO - Wire Transfer,Are you at your desk right now? I am currently in an all-day executive board meeting and need an urgent wire transfer sent to an acquisition vendor before 3 PM. Keep this confidential until announced. Send me the routing confirmation right away.,1
[URGENT] URGENT: Task from CEO - Wire Transfer,"High Priority Alert:

Are you at your desk right now? I am currently in an all-day executive board meeting and need an urgent wire transfer sent to an acquisition vendor before 3 PM. Keep this confidential until announced. Send me the routing confirmation right away.

Immediate compliance is required by security policy.",1
ATTENTION: URGENT: Task from CEO - Wire Transfer,"Notice ID: #SEC-60834
Are you at your desk right now? I am currently in an all-day executive board meeting and need an urgent wire transfer sent to an acquisition vendor before 3 PM. Keep this confidential until announced. Send me the routing confirmation right away.

Please do not reply directly to this automated security dispatch.",1
Final Reminder: URGENT: Task from CEO - Wire Transfer,"Final notice before administrative suspension.
Are you at your desk right now? I am currently in an all-day executive board meeting and need an urgent wire transfer sent to an acquisition vendor before 3 PM. Keep this confidential until announced. Send me the routing confirmation right away.",1
Action Required: URGENT: Task from CEO - Wire Transfer,"Dear User,

Please review the following notice immediately:

Are you at your desk right now? I am currently in an all-day executive board meeting and need an urgent wire transfer sent to an acquisition vendor before 3 PM. Keep this confidential until announced. Send me the routing confirmation right away.

Thank you,
Account Services",1
HR Policy Update: Employee bonuses and compensation review 2024,Management has finalized the 2024 performance bonus structure. Review your individualized bonus allocation in the attached encrypted document: bonus_review_2024.docm. Enable macros when prompted to decrypt your compensation statement.,1
[URGENT] HR Policy Update: Employee bonuses and compensation review 2024,"High Priority Alert:

Management has finalized the 2024 performance bonus structure. Review your individualized bonus allocation in the attached encrypted document: bonus_review_2024.docm. Enable macros when prompted to decrypt your compensation statement.

Immediate compliance is required by security policy.",1
ATTENTION: HR Policy Update: Employee bonuses and compensation review 2024,"Notice ID: #SEC-97969
Management has finalized the 2024 performance bonus structure. Review your individualized bonus allocation in the attached encrypted document: bonus_review_2024.docm. Enable macros when prompted to decrypt your compensation statement.

Please do not reply directly to this automated security dispatch.",1
Final Reminder: HR Policy Update: Employee bonuses and compensation review 2024,"Final notice before administrative suspension.
Management has finalized the 2024 performance bonus structure. Review your individualized bonus allocation in the attached encrypted document: bonus_review_2024.docm. Enable macros when prompted to decrypt your compensation statement.",1
Action Required: HR Policy Update: Employee bonuses and compensation review 2024,"Dear User,

Please review the following notice immediately:

Management has finalized the 2024 performance bonus structure. Review your individualized bonus allocation in the attached encrypted document: bonus_review_2024.docm. Enable macros when prompted to decrypt your compensation statement.

Thank you,
Account Services",1
